City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Vallenar,CL,-28.5708,-70.7581,63.77,41,0,4.7,clear sky
216,Albanel,CA,48.8832,-72.4487,42.94,87,72,4.61,broken clouds
217,Gravdal,NO,68.1214,13.5031,46.29,75,98,4.81,overcast clouds
218,Abu Dhabi,AE,24.4667,54.3667,82.42,82,0,2.3,clear sky
219,Safaga,EG,26.7292,33.9365,79.48,48,71,13.04,broken clouds
220,Wittmund,DE,53.5667,7.7833,47.03,93,100,6.91,overcast clouds
221,Pemba,MZ,-12.974,40.5178,75.34,80,4,9.1,clear sky
222,Bol,TD,13.4586,14.7147,83.35,43,42,11.59,scattered clouds
223,Pisco,PE,-13.7,-76.2167,62.65,77,0,17.27,clear sky
224,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,87.01,29,67,9.42,broken clouds
225,Semey,KZ,50.4111,80.2275,44.82,45,0,13.42,clear sky
226,Hwange,ZW,-18.3693,26.5019,78.75,31,55,6.33,broken clouds
227,Port Shepstone,ZA,-30.7414,30.455,70.81,91,98,18.41,overcast clouds
228,Alot,IN,23.7667,75.55,66.69,59,6,6.29,clear sky
229,Ostersund,SE,63.1792,14.6357,41.61,93,100,17.27,overcast clouds
230,Portsoy,GB,57.6814,-2.6896,48.15,90,99,18.99,overcast clouds
231,Coihaique,CL,-45.5752,-72.0662,53.55,66,75,6.91,broken clouds
232,Nurota,UZ,40.5614,65.6886,46.85,48,1,5.37,clear sky
233,Kapiri Mposhi,ZM,-13.9652,28.6809,69.01,39,7,7.83,clear sky
234,Tafalla,ES,42.5269,-1.6745,65.39,51,100,21.79,overcast clouds
235,Manaure,CO,11.7751,-72.4445,84.92,66,42,11.1,scattered clouds
236,Kapoeta,SS,4.7717,33.5903,80.56,47,77,8.7,broken clouds
237,Pontes E Lacerda,BR,-15.2261,-59.3353,78.73,69,54,3.78,broken clouds
238,Porto Seguro,BR,-16.4497,-39.0647,75.72,78,20,8.05,few clouds
239,Amurrio,ES,43.05,-3.0,69.33,52,100,13.6,light rain
240,Dekar,BW,-21.5333,21.9333,73.9,49,99,6.38,overcast clouds
241,Morondava,MG,-20.2833,44.2833,76.59,85,4,5.73,clear sky
242,Kimparana,ML,12.8347,-4.9244,82.63,27,0,6.58,clear sky
243,Fort-Shevchenko,KZ,44.5086,50.263,63.03,79,100,26.31,overcast clouds
244,Mbandaka,CD,0.0487,18.2603,70.81,98,100,2.62,moderate rain
245,Grindavik,IS,63.8424,-22.4338,39.67,100,75,11.5,light intensity drizzle
246,Codrington,AU,-38.2667,141.9667,58.21,78,11,9.86,few clouds
247,Jacmel,HT,18.2342,-72.5347,84.04,85,19,2.82,light rain
248,Bosaso,SO,11.2842,49.1816,79.75,61,5,4.34,clear sky
249,Santa Cruz De Tenerife,ES,28.4682,-16.2546,75.45,62,0,5.01,clear sky
250,Adre,TD,13.4667,22.2,79.38,27,24,4.47,few clouds
251,Goderich,CA,43.7501,-81.7165,42.91,81,100,18.41,moderate rain
